YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2001,Mandla,0.4,750.0,94.04,24.93,10.8,2.18,45.04,5.89,0.53,54.04,3.92,1.04,0.03,17.77,8.03,Medium ,High,Medium,Black,100-300
2002,Mandla,0.2,500.0,94.08,25.52,10.24,2.27,44.75,6.71,0.55,50.06,2.88,1.07,0.03,18.37,8.3,Medium ,High,Medium,Black,100-300
2003,Mandla,0.2,1000.0,94.09,25.02,11.14,2.22,45.88,5.51,0.53,54.27,4.33,1.05,0.03,17.8,8.07,Medium ,High,Medium,Black,100-300
2004,Mandla,0.54,741.0,94.1,24.76,11.0,2.05,43.94,5.04,0.56,47.88,3.32,1.08,0.03,18.58,8.38,Medium ,High,Medium,Black,100-300
2005,Mandla,0.55,709.0,94.08,24.71,10.8,2.06,44.69,5.93,0.54,52.77,4.48,1.05,0.03,18.01,8.1,Medium ,High,Medium,Black,100-300
2006,Mandla,1.25,640.0,94.09,25.45,11.13,2.09,43.86,6.01,0.54,50.7,2.95,1.06,0.03,17.99,8.14,Medium ,High,Medium,Black,100-300
2007,Mandla,2.5,720.0,94.07,24.97,10.87,2.07,43.69,8.48,0.55,48.35,3.47,1.06,0.03,18.32,8.25,Medium ,High,Medium,Black,100-300
2008,Mandla,2.4,875.0,94.05,24.97,10.72,2.02,43.7,4.55,0.54,49.53,3.39,1.04,0.03,18.12,8.15,Medium ,High,Medium,Black,100-300
2009,Mandla,2.3,739.0,94.06,25.94,10.62,2.03,44.73,7.91,0.56,46.71,3.09,1.08,0.03,18.68,8.38,Medium ,High,Medium,Black,100-300
2010,Mandla,2.3,913.0,94.06,25.9,11.2,1.99,45.0,6.09,0.55,51.3,3.57,1.08,0.03,18.48,8.34,Medium ,High,Medium,Black,100-300
2011,Mandla,2.4,625.0,94.04,24.75,11.25,1.99,43.74,3.41,0.53,47.8,4.26,1.03,0.03,17.87,8.04,Medium ,High,Medium,Black,100-300
2012,Mandla,3.11,611.0,94.03,24.77,10.64,2.11,45.15,3.86,0.53,50.56,3.8,1.03,0.03,17.82,7.99,Medium ,High,Medium,Black,100-300
2013,Mandla,1.9,68.0,94.04,24.59,11.75,2.06,45.55,4.37,0.51,52.83,5.2,0.99,0.03,17.15,7.73,Medium ,High,Medium,Black,100-300
2014,Mandla,11.0,1273.0,94.14,24.7,11.49,2.13,46.36,4.85,0.54,52.25,3.47,1.03,0.03,17.9,8.06,Medium ,High,Medium,Black,100-300
2015,Mandla,3.0,1333.0,94.2,25.0,11.54,2.03,44.69,5.1,0.53,52.25,3.05,1.02,0.03,17.83,8.01,Medium ,High,Medium,Black,100-300
2016,Mandla,1.0,1000.0,94.1,25.45,11.12,2.01,44.35,4.47,0.53,53.35,3.25,1.02,0.03,17.68,7.94,Medium ,High,Medium,Black,100-300
2017,Mandla,2.7,133.0,94.1,25.95,10.67,1.96,44.73,4.77,0.55,46.42,2.66,1.06,0.03,18.52,8.29,Medium ,High,Medium,Black,100-300
2001,Sagar,167.4,681.0,95.56,25.38,10.23,2.14,46.04,5.76,0.56,46.37,2.8,1.08,0.03,18.53,8.41,High,Medium,High,Black,100-300
2002,Sagar,152.6,476.0,95.58,26.46,9.61,2.31,46.13,5.09,0.57,43.23,2.33,1.09,0.03,18.84,8.53,High,Medium,High,Black,100-300
2003,Sagar,162.4,990.0,95.61,25.45,10.77,2.21,46.36,4.83,0.55,46.67,3.21,1.07,0.03,18.26,8.28,High,Medium,High,Black,100-300
2004,Sagar,194.81,833.0,95.6,25.77,10.38,2.16,45.68,4.53,0.57,41.65,2.52,1.09,0.03,18.88,8.54,High,Medium,High,Black,100-300
2005,Sagar,168.77,834.0,95.59,25.47,10.21,2.21,45.06,6.41,0.57,45.73,3.16,1.09,0.03,18.77,8.46,High,Medium,High,Black,100-300
2006,Sagar,202.91,836.0,95.58,25.91,10.86,2.11,45.32,7.24,0.55,47.6,3.7,1.07,0.03,18.23,8.29,High,Medium,High,Black,100-300
2007,Sagar,321.8,576.0,95.57,25.44,10.47,2.1,44.87,6.85,0.56,43.94,2.84,1.08,0.03,18.6,8.4,High,Medium,High,Black,100-300
2008,Sagar,303.0,893.0,95.56,25.24,10.69,2.04,43.75,4.23,0.56,45.74,2.85,1.06,0.03,18.45,8.32,High,Medium,High,Black,100-300
